graph_index,group,generation_method,n_routes,generated_n_routes,min_route_len,max_route_len,target_route_len,weight_combo_index,demand_time_weight,route_time_weight,median_connectivity_weight,run_name,cost,ATT,RTT,unserved_demand,n_nodes,covered_nodes,route_length_min,route_length_mean,route_length_max
572,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0572,1.2597335577011108,29.252763748168945,1145.49267578125,13.844412803649902,50,47,12,12.0,12
573,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0573,2.2617807388305664,38.01814270019531,1180.1536865234375,21.480754852294922,50,45,12,12.0,12
574,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0574,3.2140235900878906,32.48125076293945,1188.02783203125,17.153064727783203,50,47,12,12.0,12
575,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0575,1.8291175365447998,38.76084518432617,1144.6590576171875,23.709226608276367,50,44,12,12.0,12
576,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0576,2.049973487854004,23.74520492553711,758.5911865234375,17.044878005981445,50,46,12,12.0,12
577,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0577,3.0640013217926025,28.815351486206055,877.9776611328125,16.908353805541992,50,46,12,12.0,12
578,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0578,1.8604201078414917,33.94935989379883,1126.017822265625,28.39889907836914,50,44,12,12.0,12
579,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0579,3.1454241275787354,42.6061897277832,1253.7091064453125,34.179935455322266,50,41,12,12.0,12
580,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0580,2.0180282592773438,47.07133102416992,986.8327026367188,14.937986373901367,50,47,12,12.0,12
581,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0581,1.1248382329940796,23.781946182250977,770.7905883789062,7.302192687988281,50,48,12,12.0,12
582,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0582,3.4866952896118164,32.08921813964844,1297.712158203125,40.099449157714844,50,39,12,12.0,12
583,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0583,3.088374376296997,23.80375862121582,845.4530029296875,10.749366760253906,50,48,12,12.0,12
584,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0584,1.5107247829437256,35.92860412597656,1591.9639892578125,16.70771026611328,50,46,12,12.0,12
585,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0585,3.095130205154419,35.67629623413086,1180.890380859375,33.478904724121094,50,41,12,12.0,12
586,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0586,3.1303017139434814,37.164344787597656,1451.309326171875,14.408217430114746,50,48,12,12.0,12
587,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0587,1.837323784828186,29.12375831604004,1083.576171875,25.700176239013672,50,44,12,12.0,12
588,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0588,3.1346921920776367,39.774253845214844,1201.088623046875,34.08461380004883,50,41,12,12.0,12
589,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0589,3.300915241241455,24.011812210083008,808.4545288085938,24.92899513244629,50,45,12,12.0,12
590,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0590,2.1809332370758057,33.73122787475586,1097.447509765625,30.835613250732422,50,42,12,12.0,12
591,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0591,1.8215229511260986,26.22414207458496,872.3206787109375,14.234818458557129,50,47,12,12.0,12
592,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0592,3.054945468902588,32.5474967956543,1034.3472900390625,18.1346435546875,50,46,12,12.0,12
593,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0593,1.8368480205535889,43.242374420166016,1301.320556640625,22.82413101196289,50,44,12,12.0,12
594,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0594,2.9112601280212402,36.12435531616211,1120.895263671875,30.494707107543945,50,42,12,12.0,12
595,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0595,3.078723430633545,29.708538055419922,1148.2830810546875,15.675590515136719,50,46,12,12.0,12
596,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0596,1.5308181047439575,28.28557586669922,1220.84765625,14.975082397460938,50,46,12,12.0,12
597,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0597,2.90639066696167,37.57341766357422,1228.8046875,30.378585815429688,50,42,12,12.0,12
598,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0598,4.611090660095215,21.567136764526367,828.4885864257812,40.058685302734375,50,39,12,12.0,12
599,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0599,0.8945873975753784,37.88634490966797,1177.514404296875,6.566189289093018,50,49,12,12.0,12
600,0,nx_max_length_path_heuristic,10,10,2,12,12,0,1.0,0.0,0.0,lc_nx_heuristic_graph_0600,2.736135959625244,29.51176643371582,1206.1898193359375,27.00958251953125,50,43,12,12.0,12
601,0,nx_max_length_path_heuristic,10,10,2,12,12,1,0.0,1.0,0.0,lc_nx_heuristic_graph_0601,3.8651132583618164,30.379323959350586,1266.33251953125,21.227764129638672,50,46,12,12.0,12
602,0,nx_max_length_path_heuristic,10,10,2,12,12,2,0.0,0.0,1.0,lc_nx_heuristic_graph_0602,1.8250620365142822,33.274295806884766,1148.353515625,24.22692108154297,50,44,12,12.0,12
